region,number,council,total,male,female,household size
Dodoma,1,Kondoa,269704,136518,133186,4.8
Dodoma,2,Mpwapwa,305056,147306,157750,4.6
Dodoma,3,Kongwa,309973,149221,160752,5.0
Dodoma,4,Chamwino,330543,158882,171661,4.5
Dodoma,5,Dodoma Municipal,410956,199487,211469,4.4
Dodoma,6,Bahi,221645,105975,115670,4.5
Dodoma,7,Chemba,235711,117585,118126,4.7
Arusha,1,Monduli,158929,75615,83314,4.7
Arusha,2,Meru,268144,131264,136880,4.3
Arusha,3,Arusha City,416442,199524,216918,4.0
Arusha,4,Karatu,230166,117769,112397,5.1
Arusha,5,Ngorongoro,174278,82610,91668,4.8
Arusha,6,Arusha,323198,154301,168897,4.5
Arusha,7,Longido,123153,60199,62954,5.0
Kilimanjaro,1,Rombo,260963,124528,136435,4.4
Kilimanjaro,2,Mwanga,131442,63199,68243,4.4
Kilimanjaro,3,Same,269807,131515,138292,4.5
Kilimanjaro,4,Moshi,466737,225767,240970,4.2
Kilimanjaro,5,Hai,210533,102457,108076,4.2
Kilimanjaro,6,Moshi Municipal,184292,89174,95118,4.0
Kilimanjaro,7,Siha,116313,56500,59813,4.3
Tanga,1,Lushoto,492441,230236,262205,4.7
Tanga,2,Korogwe,242038,118544,123494,4.6
Tanga,3,Muheza,204461,100843,103618,4.3
Tanga,4,Tanga City,273332,130920,142412,4.4
Tanga,5,Pangani,54025,26870,27155,4.1
Tanga,6,Handeni,276646,137218,139428,5.0
Tanga,7,Kilindi,236833,118167,118666,5.1
Tanga,8,Mkinga,118065,57760,60305,4.6
Tanga,9,Korogwe Town,68308,33121,35187,4.4
Tanga,10,Handeni Town,79056,38668,40388,5.0
Morogoro,1,Kilosa,438175,218378,219797,4.2
Morogoro,2,Morogoro,286248,140824,145424,4.2
Morogoro,3,Kilombero,407880,202789,205091,4.3
Morogoro,4,Ulanga,265203,131562,133641,4.9
Morogoro,5,Morogoro Municipal,315866,151700,164166,4.1
Morogoro,6,Mvomero,312109,154843,157266,4.3
Morogoro,7,Gairo,193011,93206,99805,5.2
Pwani,1,Bagamoyo,311740,154198,157542,4.4
Pwani,2,Kibaha,70209,34515,35694,4.1
Pwani,3,Kisarawe,101598,50631,50967,3.9
Pwani,4,Mkuranga,222921,108024,114897,4.3
Pwani,5,Rufiji,217274,104851,112423,4.4
Pwani,6,Mafia,46438,22954,23484,3.9
Pwani,7,Kibaha Town,128488,62653,65835,4.1
Dar-es-salaam,1,Kinondoni Municipal,1775049,860802,914247,4.0
Dar-es-salaam,2,Ilala Municipal,1220611,595928,624683,4.0
Dar-es-salaam,3,Temeke Municipal,1368881,669056,699825,3.9
Lindi,1,Kilwa,190744,91661,99083,4.4
Lindi,2,Lindi,194143,91647,102496,3.7
Lindi,3,Nachingwea,178464,86382,92082,3.7
Lindi,4,Liwale,91380,44027,47353,4.3
Lindi,5,Ruangwa,131080,63265,67815,3.5
Lindi,6,Lindi Municipal,78841,37525,41316,3.5
Mtwara,1,Mtwara,228003,107922,120081,3.9
Mtwara,2,Newala,205492,95018,110474,3.5
Mtwara,3,Masasi,247993,118976,129017,3.6
Mtwara,4,Tandahimba,227514,105322,122192,3.7
Mtwara,5,Mtwara Municipal,108299,51062,57237,3.8
Mtwara,6,Nanyumbu,150857,72237,78620,3.7
Mtwara,7,Masasi Town,102696,49111,53585,3.6
Ruvuma,1,Tunduru,298279,143660,154619,4.2
Ruvuma,2,Songea,173821,86548,87273,4.5
Ruvuma,3,Mbinga,353683,172402,181281,4.7
Ruvuma,4,Songea Municipal,203309,96347,106962,4.2
Ruvuma,5,Namtumbo,201639,98335,103304,5.1
Ruvuma,6,Nyasa,146160,71392,74768,4.7
Iringa,1,Iringa,254032,123243,130789,4.2
Iringa,2,Mufindi,265829,125896,139933,4.2
Iringa,3,Iringa Municipal,151345,71932,79413,4.2
Iringa,4,Kilolo,218130,105856,112274,4.3
Iringa,5,Mafinga Town,51902,25125,26777,4.0
Mbeya,1,Chunya,290478,145420,145058,4.9
Mbeya,2,Mbeya,305319,143779,161540,4.1
